nome,raca,genero
"DR FERNANDO MXIMO","Branco","Homem"
"LUCIO MOSQUINI","Branco","Homem"
"CORONEL CHRISSTOMO","Pardo","Homem"
"LEBRO","Branco","Homem"
"JAIME BAGATTOLI","Branco","Homem"
"SILVIA CRISTINA","Preto","Mulher"
"ROGRIO MARINHO","Pardo","Homem"
"ROBINSON FARIA","Branco","Homem"
"SARGENTO GONALVES","Branco","Homem"
"NATLIA BONAVIDES","Branco","Mulher"
"BENES LEOCDIO","Branco","Homem"
"JOO MAIA","Branco","Homem"
"GENERAL GIRO","Branco","Homem"
"MINEIRO","Pardo","Homem"
"PAULINHO FREIRE","Branco","Homem"
"DANIEL FREITAS","Branco","Homem"
"JORGE GOETTEN","Branco","Homem"
"Z TROVO","Branco","Homem"
"JULIA ZANATTA","Branco","Mulher"
"GILSON MARQUES","Branco","Homem"
"PROFESSOR PEDRO UCZAI","Branco","Homem"
"ISMAEL","Branco","Homem"
"ANA PAULA LIMA","Branco","Mulher"
"DANIELA REINEHR","Branco","Mulher"
"COBALCHINI","Branco","Homem"
"CAROL DE TONI","Branco","Mulher"
"CARLOS CHIODINI","Branco","Homem"
"RAFAEL PEZENTI","Branco","Homem"
"CARMEN ZANOTTO","Branco","Mulher"
"RICARDO GUIDI","Branco","Homem"
"FABIO SCHIOCHET","Branco","Homem"
"JORGE SEIF","Branco","Homem"
"LUCAS REDECKER","Branco","Homem"
"MAURICIO MARCON","Branco","Homem"
"BIBO NUNES","Branco","Homem"
"SANDERSON","Branco","Homem"
"AFONSO MOTTA","Branco","Homem"
"CARLOS GOMES","Pardo","Homem"
"TENENTE CORONEL ZUCCO","Branco","Homem"
"FRANCIANE BAYER","Branco","Mulher"
"DANRLEI DE DEUS GOLEIRO","Branco","Homem"
"MARCELO MORAES","Branco","Homem"
"MARCIO BIOLCHI","Branco","Homem"
"PAULO PIMENTA","Branco","Homem"
"BUSATO","Branco","Homem"
"BOHN GASS","Branco","Homem"
"ALEXANDRE LINDENMEYER","Branco","Homem"
"AFONSO HAMM","Branco","Homem"
"GIOVANI CHERINI","Branco","Homem"
"OSMAR TERRA","Branco","Homem"
"MARIA DO ROSRIO","Branco","Mulher"
"PEDRO WESTPHALEN","Branco","Homem"
"MARCEL VAN HATTEM","Branco","Homem"
"HEITOR SCHUCH","Branco","Homem"
"DENISE PESSA","Preto","Mulher"
"HAMILTON MOURO","IND�GENA","Homem"
"ANY ORTIZ","Branco","Mulher"
"DANIEL TRZECIAK  DANIEL DA TV","Branco","Homem"
"DAIANA SANTOS","Preto","Mulher"
"FERNANDA MELCHIONNA","Branco","Mulher"
"ALCEU MOREIRA","Branco","Homem"
"MARCON","Branco","Homem"
"POMPEO DE MATTOS","Branco","Homem"
"COVATTI FILHO","Branco","Homem"
"DUDA RAMOS","Branco","Homem"
"NICOLETTI","Branco","Homem"
"ALBUQUERQUE","Pardo","Homem"
"DEFENSOR STLIO DENER","Pardo","Homem"
"PASTOR DINIZ","Pardo","Homem"
"DR HIRAN","Pardo","Homem"
"JHONATAN DE JESUS","Pardo","Homem"
"Z HAROLDO CATHEDRAL","Branco","Homem"
"HELENA DA ASATUR","Pardo","Mulher"
"GUILHERME BOULOS","Branco","Homem"
"RODRIGO GAMBALE","Branco","Homem"
"BRUNO GANEM","Branco","Homem"
"CAPITO AUGUSTO","Branco","Homem"
"JONAS DONIZETTE","Branco","Homem"
"ALEXANDRE LEITE","Pardo","Homem"
"RUI FALCO","Branco","Homem"
"GILBERTO NASCIMENTO","Branco","Homem"
"MILTON VIEIRA","Branco","Homem"
"SMIA BOMFIM","Branco","Mulher"
"LUIZ PHILIPPE DE O BRAGANA","Branco","Homem"
"MARCIO ALVINO","Branco","Homem"
"MIGUEL LOMBARDI","Branco","Homem"
"BALEIA ROSSI","Branco","Homem"
"CARLOS ZARATTINI","Branco","Homem"
"MARCO BERTAIOLLI","Branco","Homem"
"CARLA ZAMBELLI","Branco","Mulher"
"ANTONIO CARLOS RODRIGUES","Branco","Homem"
"SIMONE MARQUETTO","Branco","Mulher"
"ALENCAR SANTANA","Branco","Homem"
"ARNALDO JARDIM","Branco","Homem"
"CARLOS SAMPAIO","Branco","Homem"
"VINICIUS CARVALHO","Branco","Homem"
"ASTRONAUTA MARCOS PONTES","Branco","Homem"
"SNIA GUAJAJARA","IND�GENA","Mulher"
"ROSANA VALLE","Branco","Mulher"
"FELIPE BECARI","Branco","Homem"
"PAULO TEIXEIRA","Branco","Homem"
"VITOR LIPPI","Branco","Homem"
"MAURICIO NEVES","Branco","Homem"
"DELEGADO BRUNO LIMA","Branco","Homem"
"ERIKA HILTON","Preto","Mulher"
"CAPITO DERRITE","Branco","Homem"
"DAVID SOARES","Branco","Homem"
"KIM KATAGUIRI","Amarelo","Homem"
"ROSNGELA MORO","Branco","Mulher"
"ALBERTO MOURO","Branco","Homem"
"JILMAR TATTO","Branco","Homem"
"MARCELO LIMA","Pardo","Homem"
"RICARDO SILVA","Branco","Homem"
"PAULO FREIRE DA COSTA","Branco","Homem"
"MARIO FRIAS","Branco","Homem"
"JEFFERSON CAMPOS","Branco","Homem"
"ARLINDO CHINAGLIA","Branco","Homem"
"LUIZ MARINHO","Branco","Homem"
"ALEXANDRE PADILHA","Branco","Homem"
"PAULO ALEXANDRE BARBOSA","Branco","Homem"
"DELEGADO DA CUNHA","Preto","Homem"
"CELSO RUSSOMANNO","Branco","Homem"
"TIRIRICA","Pardo","Homem"
"RICARDO SALLES","Branco","Homem"
"MOTTA","Branco","Homem"
"TABATA AMARAL","Branco","Mulher"
"FABIO TERUEL","Branco","Homem"
"DELEGADO PALUMBO","Branco","Homem"
"NILTO TATTO","Branco","Homem"
"JULIANA CARDOSO","IND�GENA","Mulher"
"ALEX MANENTE","Branco","Homem"
"FAUSTO PINATO","Branco","Homem"
"ADRIANA VENTURA","Branco","Mulher"
"MARINA SILVA","Preto","Mulher"
"LUIZA ERUNDINA","Branco","Mulher"
"RENATA ABREU","Branco","Mulher"
"PASTOR MARCO FELICIANO","Branco","Homem"
"DELEGADO PAULO BILYNSKYJ","Branco","Homem"
"EDUARDO BOLSONARO","Branco","Homem"
"MARANGONI","Branco","Homem"
"KIKO CELEGUIM","Branco","Homem"
"MARCOS PEREIRA","Pardo","Homem"
"MARIA ROSAS","Pardo","Mulher"
"CEZINHA DE MADUREIRA","Branco","Homem"
"JOAO DANIEL","Branco","Homem"
"RODRIGO VALADARES","Branco","Homem"
"THIAGO DE JOALDO","Pardo","Homem"
"DELEGADA KATARINA","Branco","Mulher"
"GUSTINHO RIBEIRO","Branco","Homem"
"ICARO DE VALMIR","Pardo","Homem"
"YANDRA DE ANDR","Branco","Mulher"
"FABIO REIS","Branco","Homem"
"LARCIO","N�O INFORMADO","Homem"
"VICENTINHO JUNIOR","Pardo","Homem"
"LAZARO BOTELHO","Branco","Homem"
"ALEXANDRE GUIMARES","Branco","Homem"
"RICARDO AYRES","Pardo","Homem"
"TOINHO ANDRADE","Pardo","Homem"
"CARLOS GAGUIM","Pardo","Homem"
"PROFESSORA DORINHA","Branco","Mulher"
"FILIPE MARTINS","Pardo","Homem"
"ELI BORGES","Pardo","Homem"
